LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Warrnambool,3282,10.60%,67,9.10%,71,12.40%,63,72.60%,47,80.90%,37,63.90%,59,12.20%,42,5.50%,25,24.30%,50,8.30%,13,6.4,31,7,12,5.7,54
Wellington,3678,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3723,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3737,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3741,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3825,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3833,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3844,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3847,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3850,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3851,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3852,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3854,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3856,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3857,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3858,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3859,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3860,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3862,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3864,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3870,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3873,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3874,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3875,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3880,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3898,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3960,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3962,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
Wellington,3966,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
